my_sea_zone = aae55b

wasteland1 = 9e0142
wasteland2 = d53e4f
wasteland3 = F46D43
wasteland4 = fdae61
wasteland5 = fee08b
wasteland6 = e6f598
wasteland7 = abdda4
wasteland8 = 66c2a5
mountains1 = 5e4fa2
mountains2 = 7056e4
mountains3 = 280ea1
mountains4 = beb2f3
seas1 = 3288bd
seas2 = 0c659b
seas3 = 0a9cf6
seas4 = 64bbf1
seas5 = 194662


#Empire
Kreutzhofen =008600
Rosenhausen =a4783e
Sollweg =9f7843
Neukirch =907852
Elzach =8b7857
Tannau =95784d
Bernau =86785d
Wildenhugel =c87824
Finnweg =d27818
Westen_Finnwald =717871
Westbeuerhugel =817862
Haugothal =77786c
Haverz =7c7867
Wolfurt =62783b
Ost_kleinwilden =6c7876
Wilhams =67787b
Mauchen =627880
Achenwald =5d7885
Staig =537892
Finnwald = 4e7897
Ostfinwald =4478a1
Achenfinwald =49789c
Ostbeuerhugel =58788d
Habichtwald =3e78a7
Hagenwald =53784b
Ellwagen =3978ae
Schonwald =3478b3
Kislegg =2a78bd
Moosach =587846
Aitrang =2578c3
Waldbach =2078c8
Rusch =1b78cd
Sulzhugel =2f78b8
Hagenhugel =0b78dc
Gestratz =1178d7
Ballenhof =677836
Marschwald =1678d2
Sussenthal =79400a
Ost_Obernwald =7e400f
Ummenbach =714014
Obenheidenland =834314
Sussenquelle =793b05
Huttenhugel =773d1a
Taalszahne =813d24
Ollersbach =7c3d1f
Vals =71481a
Krossbach =863d30
Steingart =863d29
Marscheidenland =8b402b
Madau =8b4530
Rushc =8b4836
Erbshausen =714d1f
Mendelhofe =90402e
Schmirn =954333
Hochsolden =954033
Raggelhugel =9f4a3d
Raggelvorgebirge =9a4538
Kazad_Zhum =9f483b
Diehlendorf =a24f40
Mecklenthal =713b00
Oberreikquelle =9d483b
Wenns =af5a59
Mathon =b15f5e
Damulwald =b46161
Hochsleben =715224
Kauns =a44f4f
Kleine_Raggelhugel =aa5454
Osterzell =af5c5c
Pfeildorf = aa7839
West_Obernwald = 53219c
Hornfen = 55239f
Teisenwald = 5b28a4
Zemenhugel = 602da9
Dergehugel = 6532ae
Penzthal = 5d2ba7
Zemenvorgebirge = 6230ac
Dergevorgebirge = 4e1c97
Affing = 5528a4
Hornfurt = 5b2da9
Ichenhugel = 5d30ac
Kroppenleben = 6032ae
Ottakring = 863d03
Aschwald = 501e9a
Delbruckschloss = 653ab6
Rookburg = 6235b3
Hofstentten = 8e450a
Purnhugel = 673db8
Rohrhof = 6c42bd
Pfalzhugel = 6f44c0
Gutach = 7147c3
Dergenhof = 7449c5
Kluftern = 8b4308
Atzwald = 6a3fbb
Gunnertag = 7951ca
Geschburg = 7c54cd
Fluorin = 7e56cf
Pucheim = 815bd4
Zoblen = 884005
Althausen = 7e59d2
Wittenhausen = 774cc8
Castle_Greymane = 4e9a8f
Engelhugel = 438a80
Nordkolberhugel = 4b9288
Sudkolberhugel = 488f85
Lohnswald = 468d83
Teisenheindenland = 4e948d
Gnaldenwald = 4e978f
Leogang = 833b00
Sochtenau = 539a8d
Ranalt = 559c8d
Volders = 50a192
Kolbhugel =589f8d
Mandling = 50978d
Einsamhugel =509f92
Torrach = 5aa18d
Nuln = b52e04
Ellsee = d95095
Taufsee = 900d4f
Riffelsee = fbacd4
Langwasser = ff0080
Susswasser = 4f0f2f
Niederkiensee = e2b4cb
Oberkiensee = 9a2f65
Fieberwasser = 4f3944
Heiliger_wortwald = e6ce53
Schattenlas = e6ce51
Altdorf = efede2
Hallerholt = 4e5e41
Weidmarkt = efecdb
Ewigstadt = 7a734a
Klauenschloss = 7a7349
Klauendorf = efecda
Freistern = efecdc
Trosreut = 7a734b
Ottzel = 4e5e40
Prie = 736c44
Sinz = 7a6d22
Unerschroken = efecd9
Skaggerdorf = 7a6d21
Uhlandberg = 736c43
Schnital = efebd8
Gieterberg = 736d43
Lechheim = efebd7
Worlin = 7a6c22
Essel = efebd6
Esselhugel = e6cc4d
Schilderheim = e6ce4e
Gient = efebd9
Schadelhelm = e6cd4d
Gerlbach = e6cd4c
Wheburg = efe7d5
Mittlevorberg = 746b43
Hartenwald = e7e250
Holtenhausen = efe7d6
Wallenwald = e7e24e
Holtenwald = 7a6b22
Ohlhofen = efebd4
Kolbeck = 736c42
Garmdek = efe9d6
Felden = 746b46
Eilhart = efead6
Halt = e7e24d
Mellerwald = efe4d5
Garmhof = e7e24f
Wallenholt = 746a43
Gientheligen = e6cd42
Wallenimhugel = efe3d5
Morrshome = efe5d5
Mellerfelden = e6cb4a
Maissen = e7e24c
Helmgart = efe6d5
Maiswald = 4e5d40
Zahmstadt = 746a42
Kotzdam = e6cc4a
Kotzsee = e7e24a
Penzkirchen = 4e5d3f
Zahmer = e7e24b
Hartzroch = efece0
river_reik1 = e3519a
Lengenfeld = a62ee6
Gebenbach = be6ce9
Mantel = 795c88
Dachbach = 600e8c
Siegenhausen = ad82c4
Streissen = b464e0
Pilsach = 836196
Weltenhof = 642786
Schroben = 743497
Gamsreuth = 361349
Colmerstand = c484e7
Golbach = b373bb
Lebendorf = e34af7
Burg_Kleindorf = ce1be5
Sonnenriedt = 921ea1
Unterwald = bb6bc5
Colmfahre = d25ce1
Volsbach = 8c0e9c
Obervolshof = b842c7
Sempscheid = d934ee
Eining = 9330c9
Wollestadt = c37be9
Nenzenheim = cc9ae6
Kyffhausen = cc8af0
Utharhof = a084b0
Pferdingen = b05ade
Murrlingen = 481d5f
Gryfenheim = c989ec
Gottesdorf = 764392
Tannfeld = 6e12a0
Wangfeld = c68de4
Heideck = 811390
Pferstadt = 721c7d
Bockenhof = dc7ee8
Vilgaun = 6c119d
Averheim = 62148b
Averhafen = b55fe3
Sorghof = 5d1683
Ruhgsdorf = b270d6
Pfunzig = 9c63ba
Dreiflussen = c994e5
Hammelfels = 80489e
Kleinsdorf = 8629b6
Kaltbach = 774690
Pearun = bc90d4
Einsamholz = b478d3
Wustenhofenwald = 321b3e
Zappermark = 4a1b63
Baumwolle = cd96e9
Herzinhand = 562a6e
Speck = 300c43
Fallenblatt = 67248a
Kleeblatt = b872dd
Kellerbier = 7f20b0
Gipfel = a469ed
Gipfelhugel = b687cf
Vellach = dac3e6
Klaunfeld = 402150
Kessel = a295a8
Flensburgwald = a45ec9
Egenburg = 6c2790
Gerningen = bf84de
Gernthalingen = a85cd0
Juttlingen = c17de5
Bernloch = cd92ec
Zorje = 8849a9
Agbeiten = bc79de
Neustein = 7914ae
Zartbitterhof = c76ef5
Staffelfeld = 7b26a7
Steinkirchen = b33ff0
Staffelhugel = 8f0dd3
Sugenheim = 3d0859
Bartenfeld = 9353b5
Sarheim = 431e57
Heiligenbronnwald = bd66ea
Willenfeld = c682ea
Bieswang = 9324cc
Solnhofen = c683e9
Radring = bf8ed8
Mertzenrode = a267c1
Siegplatz = 9a3fc9
Turmwache = 4b1766
Dietfurt = 450367
Quasselfurt = a65fca
Rieden = a224e4
Riedenfeld = 622283
Fredricksburg = b660e3
Theinhof = 29212d
Grosshammerstett = b86edf
Obernzen = 8924bd
Grenzstadt = b44fe9
Brunshof = a96dc9
Seckbachwald = 3d1e4e
Viehbach = 5e2d77
Treffenheim = 9136c1
Blaubachwald = 411f53
Sigmaringen = a96ef2
Bernberg = d55f6
Sigmaringenhugel = a777e3
Sigmaringenwald = 4b2b74
Gaddwald = 6f26cd
Obergaddhugel = 6e42a6
Gaddfeld = 6526ac
Untergaddhugel = 31263f
Stoodhof = 40127a
Wolderitz = b378f5
Wendenfeld = 7f44ca
Gotzendorf = b498d7
Fennonwald = 3e1078
Riednitz = 7131ba
Albenmoor = c6a8e8
Brachlandfeld = 6b33ab
Albenfeld = b87dfa
Schramleben = 8044c1
Hutten = 4d0897
Essing = b67af7
Maylhof = 6e30b6
Ryding = ae73f2
Mittlenburg = 8e51d6
Fallberg = 9655de
Borsenfeld = 6d2376
Felsenhof = 411756
Sigmaringenfeld = 9d55f6
Grunburg = 0f4d02
Onling = 9ef575
Badenborn = 8cd47d
Buxhead = 40dc20
Prieze = 5df118
Dabernick = 7ab75c
Grosslin = 62da2a
Fielbach = 8bea5e
Teufelfeuer = 49a31e
Kemperbad = 113a13
Diesdorf = 17bf1f
Lengern = 54c559
Oberonl = c6f4b1
Mackenstein = 19851e
Brandenburg = 18f723
Reikwald_placeholder = 152c0a
Tahme = 2fd568
Blutroch = 6afc9c
Midfurt = 2ebe60
Schevinger = 117935
Havelfurt = 7cdc9d
Jettenburg = 54b576
Schieffelen = 24e968
Stust = a5d7b6
Oberwald = b8bf35
Enzwacht = bac313
Hahnbrandt = 7c7f39
Achern = e1ec1d
Stirgau = 9d7c1d
Walfen = 616606
Auerswald = e6ed6d
Dunkelburg = 1d6596
Stimmigen = 102d41
Dunkelgard = 0a3755
Ubersreik = 63aad8
Stromdorf = 1796e9
Holgau = 235576
Graustadt = 1a689b
Fahrendel = 7ab0d3
Lilahalle = 1d76b4
Hupeberg = add2ec
Grunwacht = 43505a
Bogenhafen = 4698d8
Drakenburg = e6cd4b
Schrabwald = 117bc1
Amchensee = a4cff1
Neufaljung = 1c6082
Waldesaule = 1321b3
Ranzig = 4d59d4
Siedlung = 141e91
Schutterbach = 999fd9
Schwachhof = 32a8f5
Bogensee = 2e78a9
Oberhoven = 72b6e3
unknownreikland1 = ede1a2
unknownreikland2 = 7a6d23
unknownreikland3 = 4a5d41
unknownreikland4 = e6cb49
unknownreikland5 = 746b42
unknownreikland7 = e6cc4b
unknownreikland8 = e7e350
Iron_Keep = e03bcb
North_Howling_Hills = b429a2
South_Howling_Hills = f22bd8
East_Howling_Hills = c52eb2
West_Howling_Hills = 6f0d62
Central_Howling_Hills = cd7388
Untergard = 61689d
Untergard_forest = 4a5081
Langwiese = 263189
Krudenwald = 9097cd
Bergsberg = 6975e0
Schoppendorf = 4b56b1
Krudenwald_forest = c0c5ef
Selmigerholz = 6d952b
Tobenamedforest = b3e85c
foresta = 6f90de
North_Weiss_Hills = 172bd4
South_Weiss_Hills = 2f55b0
Vodf = 0f3694
Denkh = 404a9a
restofprovincewithdenk = 273079
Ahresdorf = 6984c3
Bergendorf = 4e74cd
Muden = 132c67
Dunstigfurt = 234bac
Wannsingen = 2f477f
Ahresdorf_forests = 85a6f5
Gruyden = 0d2d79
Hergig = 2757c4
Stockse = 33529b
Barwedel = 4a72cf
Hergig_Forest = 2a60e0
West_ostland1 = bacefd
West_ostland_2 = 165795
Borogrod = 2053cb
Borogrod_forest = 0f3388
Boven = 7ca834
Volganof = 74aa1c
Raukov = 9fcd54
Dorog = 0d7e60
Wurzen = bae377
Czenger = 6c932c
Wurzen_forest = 91dd14
borderlocation = d5d2a7
Grenzburg = b53375
Grenzburg_forest = e22485
Vandengart = e894bf
Aachden = ab8498
Levudalorf = 73274e
Vandengart_forest = 9b0752
Zundap = c7126f
Zundap_forests = ec9cc5
Lubrecht = 711543
Smallhof = ef81b9
Lubrecht_forest = eb3d95
Kurst = e1397e
Felde = 9e2f5d
Kurst_Forest = 960d45
Wolfenburg = de216f
Wendorf = db5777
Grunackern = d9779f
Melbeck = 881833
Lenkster = e56886
Wolfenburg_land = e16799
Breder = da568c
Koerin = bc1e5f
Esk = 901648
Dassel = c1487a
middle_mountain_foothills = b91659
Kolengrad = eb5e99
Aukrug = 961d50
Flecken = 9b4066
Ferlangen = e03f82
Dunkelpfad = e095b4
Ferlangen_foothills = 650c31
north_middle_mountains = f499be
#North_west_middle_mountains = e56886
Bohsenfels = ba6d95
Bohsenfels_forest = 9a798a
East_forest_of_shadows = a12fce
Obelstein = 7c1ca0
Obelstein_forest = 3e0a52
West_forest_of_shadows = b33ae2
Dunsen = 6c3483
Marklohe = ac69c7
Dorfmark = 6d2f86
Dunsen_forests = c88edf
Huven = 48cc60
Seuchenshof = 2e8c40
Varrel = 75de89
Huven_Forests = 2e6a39
Beeckerhoven = 38af4d
Beeckerhoven_forests = 0a4214
Frote = 115e1f
Frote_Forests = 2a953d
Zelebhorn = 834ae9
Zelebhorn_Forests = a071f5
Tor_Lithanel = 36a74a
Rainbow_Falls = 71cc81
Fountain_of_Lebin = 257a34
Northern_Laurelorn = 47de61
Eastern_Laurelorn = 593aeb
Skogholm = 8aa68f
Kronven = 3c5240
Skogholm_Forests = 248e37
Forstfast = b1d9b8
Tyrvad = 235c2d
Vesterrup = 53925e
Forstfast_forest = 1e722d
Herup = 7760e4
Skovby = 42396b
Skovby_Forests = ac9cf9
Salzenmund = 78b382
#Grafenrich = 38af4d
Kohlen = 118526
Silbertief = 43dd5e
Oldenlitz = 0c5919
Hohenaspe = bad6bf
Odisheim = 1b5f27
Tettens = 4ed966
Stavern = 0c4616
Alfhausen = 6db279
Silver_hills = 52cf68
Hochnar = ba1368
Kanod = ec268b
Hochnar_province = 810d48
Salkalten = 9d4170
Steilstand = ea7bb3
Salkalten_province = 691e44
Eastern_Northern_Marches = dcd222
Broghur = a8cbae
Dietershafen = 49b35b
Dietershafen_province = 48dc62
Hargendorf = 62cd75
Hargensumpf = 115f1e
Massenfels = 0c4115
Schlaghugel = 12611f
Dreizack = 27147c
Neues_Emskrankrename = 3f3861
Nysted = 3f39a1
Teufelsumpf = 2c22b3
Heiligdorf = 9391b0
Manaansheim = 756ee6
Luftberg = 667c6a
Teufel_region = 684fde
Leihafen = 352c60
Schadelbruck = a599e0
Dunkelkiefer = 7d6bd1
Wulfhaven = 3c24ad
Tower_of_se_athel = 7e68e6
Skjaldberg = 352ad2
Wilhelmskoog = 16124a
Wittigholm = 40398f
Ockholm = 21bbdb
Schuten = 3f1fd8
Norden = 7a64e6
#Salzmorast = 7a64e6
Kreideklippe = 281587
Gelting = 6b4ff5
Kreideklippe_province = 452cbf
Kircham = 667de4
Blutdorf = 99a8f1
Franzen = 3b0ac7
Russbach = 9e84e8
Chrobok = 5f49a0
Worden = 101f69
Kelham = 4e6aee
West_Stirland_Plain = 4663ea
Tarshof = 2fb798
Biberhof = 116d58
Flensburg = 91c3b8
Ramsau = 63ddc1
Lochen = 70e9cd
Wurtbad_plains = c9e7e0
Julbach1 = 96e5d2
Julbach_Plains = 17d5a7
#Stirland_Plains = 4c8375
Nussbach = 2d4d45
Monheim = 29af8f
Tenneck = 95d3c4
Halstedt = 186653
Brandenberry = 4edab8
Sauerapfel = 5d9c8d
Birnbaum = 38bc9d
Tobenamedplains = 3a534d
Eineschatten = 08fbc2
Bogglewort = 39d1ad
Leedleton = 4bc4a7
Schwarzhafen = 2f927a
Leicheberg = 5de3c3
Tobenamedplains2 = c0f2e6
Tobenamedplains3 = 105354
Siegfriedhof = e97da0
Morssfen = f2155b
Vanhaldenhof = 1fb18e
Tempelhof = 196b58
Naubonum = 5ca090
Morrsfen_Plains = 68c5af
Grim_Wood = 73e2c7
Grim_Moor = 1dcba2
Haunted_Hills = 108c6e
Drakenhof = 49e0bc
Dunkelmoor = 149819
Nachthafen_Plains = 3a796a
Pfaffbach = 76baaa
Nachthafen = 055341
Tangled_Woods = 0cd7a6
Misty_Woods = 1a7c65
Ghoul_Woods = 4c8375
Bylorvash_Marsh = 30c3a0
Bylorvash = 1d8b71
Bylorvash_plains = 29d62f
Waldenhof = 07720b
Hundhum = 323e32
Regakhof = 7cfd81
Thyrnau = 7dd980
Mikalsdorf = 126c15
Egling = 6b766b
#Waldenhof_Plains = 29d62f
Hel_fenn = 2b8f2f
#Essen = f2155b
Carlsbruck = c76584
Essen_plains = a5aed9
Eisental = 914a96
Gelt = a947b0
Eisental_Foothills = e79cec
Bahlkurk = da38e5
Bahlkurk_Plains = a62aaf
Weiler = 855d88
Mielau = 4c0d50
Buckow = cc5bd3
Nagenhof = d845e2
Nagenhof_Plains = c23ecb
South_Ostermark_Plains = 8a1492
Central_Ostermark_Plains = e185e7
Poritz = 99639d
Poritz_Plains = 59145e
Sigmarsgeist = b64dbc
Sigmarsgeist_Foothills = d6a7d9
Tobenamedplaiins3 = 9f0aaa
Badenhof = 5c73e3
Rheden = 324abd
Badenhof_plains = 2c2f3e
Dnierson = 6547ef
Dnierson_Foothills = db49e5
Lochrafurt = a09273
Uckrofurt = e3bf6e
Bek = b1872a
Viernau = efdbb1
Freital = bca165
West_Dunkelkuste_forest = cd9a31
Brunmarl = bee930
Rugenbuttel = bbd75f
Dorna = 6a7b33
Bechafen = c1ea38
Bechafen_plains = 97845a
Reitwein = 6a8611
Remer = bed571
Kolitz = 3d4c0c
Elbing = bcdc51
Zeisholz = 6075d8
Munkenhof = 0f258e
Fortengrad = 6d84f0
Gerdouen = 506bec
Markgrad = 2c409e
Fortenhaf = 3a57df
Rheden1 = 727db2
Eastern_Forests = 465ecf
East_Great_Forest = 112585
Lieske = 1938c7
Radische = 3c4362
Lieske_Forests = 6c82e8
Wurtbad = 0d1c60
Julbach = 6f78a0
Julbach_Forests = 27398a
Ossino = 3045ac
Marberg = 6e7dc6
Gersdorf = 1a2767
Dohna = 4157c1
Sabritz = 182e95
Gersdorf_Forest = 5369d3
Oehling = 6777ca
Oehling_Forests = aab7f7
Tobernamedforest2 = 526ce2
Krugenheim = 8c9de3
Krugenheim_forest = 1c2445
Hazelhof = 5b6cb8
Trautenau = 9eaae0
Hundheimer_Woods = 0932f2
Tauer = 32459d
Bissendorf = 4d65d8
Pfaffenwald = a5accd
Totensumpfe = 253fb8
Dead_Woods = 4b66e4
Hunger_Woods = 6f86f3
Great_Forest = e8a3df
GreenorBarren_Hills = f657e1
Reiker_Marshes = cf3cbc
Nadjagard = e064d1
Kaldach = d821c2
Ravenstein = b653aa
Klepzig = e980dc
Torpin = d137be
Garndorf = 710764
Werder = b552a9
Talabheim = 3be1d1
Klarfeld = 056a60
Vateresche = 2ad2c2
Sumpfrand = 27bfb1
Waldfahrt = 13857a
Brasthof = e575d7
Zeder = b332a2
Volgen = 9b0e89
Sudenheim = ee52da
Esselfurt = 942786
Ripdorf = e261d2
Priestlicheim = 6a155f
West_Talabecland = eab7e4
Sprotau = f716d9
Bachra = ac2a9b
Bad_Tenzala = cc81c2
Bad_Dankerode = 7c106e
Breitblatt = c235b0
Kutzleben = 7e3375
Grossreiche = a8609e
Liebstadt = baa5b7
Urhausen = b34fa6
Hernhausen = db4dc8
Sarno = 9a4b90
Zurin = d78fcd
Harferfahre = 981186
Talagaad = f079e0
Central_Talabecland = b42ca2
East_Talabecland = d00db7
Kusel = e260d2
Dreetz = dc4fca
Wurstheim = 76ea7b
Stockhausen = 49e050
Unterbaum = 16bb1e
Aulen = 4f7767
Welleborn = bad6ca
Zutzen = 71dbaf
Missen = 219867
Sydow = 19c92c
Gostahof = 5d8961
Ranganhof = 15621d
Oberwill = 14ae1b
Nattern_Forest = 468d49
Ahlenhof = 4e0f47
Bad_Hohne = df6bd1
Suderberg = 931083
Ahlenhof_forest = e399da
Drakwald1 = 84457b
Drakwald2 = a3799e
Carroburg = 8a1750
Barenfahre = 911352
Senden = cb538f
Punzen = a3708a
Anseldorf = ea0f7d
Furdienst = 183298
Geldrecht = f08cbe
Braunwurt = 610a35
Bundesmarkt = 340439
Furtild = 701d78
Frederheim = ce15e0
Grossbad = e065eb
#Grossbad_Forest = 183298
Midden_Marshes = 7289e7
Mirror_Moors = 424f85
Kristall_Plains = 233a97

Weteringh = 980b51
Fauligmere = db4690
Klauperdorf = dc5a9b
Leydenhoven = f2248b
Smerigwaard = b51766
Stapelhugel = e687b6
Tobenamedleydenhoven2 = e262a2
Tobenamedleydenhoven3 = b81c69
Westerfast = 105c74
Scheinfeld = 690939
Uder = bf5d8e
Hupstedt = 7c86ac
Nupstedt = 4f67c5

Mittlemud = a1addb
North_East_Drakwald = e42b58
North_West_Drakwald = f43a51
Rosche = 5772dd
Tobenamedmiddenland = 2e8c25
Delberz = 60c956
Turmgever = 185f11
Schwarzmarkt = 92e58a
Middenstag = 27821e
Untergard1 = 627a5f
Grimmenhagen = 76ee6b
Harsum = 276721
Delberz_Forest = 104d0a
Fintel = b04551
Fintel_Forest = 720a16
Holzbeck = 7cbe0e
Grubentreich = 6ecb64
Pritzstock = 25751d
Hunxe = 455244
Elsterweld = 42d533
Grevenfeld = b2bfb1
Arenberg = 195013
Schoninghagen = 54ca49
Jagerhausen = 166c0d
Schoninghagen_Forests = 487943
Norderingen = 1d4019
Solzheim = 3aac2f
Middenheim = 16630f
Warrenburg = 71c369
Hovelhof = 32b225
Sohk = 12600a
Lindenheim = 1a9d0d
Gladbeich = 70af6a
Oberholzbeck = 71c169
Immelscheid = 319328
Thurgenheim = 197e0f
Schadensumpf = 5b15da
Landaroundsumpf = 8c696d
Kammendun = 634cd3
Drachenhole = 2d15a0
Forestaroundsumpf = c5707a
Winsen = 2b1b78

Gorrsel = 9795a1
Gelderham = e05b6b
Maansfast = 98212f
Stangenbroek = 4e070f
Zegweld = f92c44
Kaserburg = 9b0b1c
Tobenamedgorrsel1 = 7e6e70
Tobenamedgorrsel2 = e0a4ab
Tobenamedgorrsel3 = a3091b
Tobenamedgorrsel4 = f52a42

Tobenamedtumble36 = 92323e
Zeemond = bd182d
Tobenamedtumble27 = 96535b
Vloedwijk = f16b7c
Tobenamedtumble28 = 860919
Tobenamedtumble29 = f1576a
Tobenamedtumble30 = 750c19
Tobenamedtumble31 = f82c45
Tobenamedtumble32 = f74d62
Hogedam = a2797e
Bovenkarspel = af2738
Tobenamedtumble33 = f0223b
Tobenamedtumble34 = b20f23
Tobenamedtumble35 = e88a96

Fort_Solace = c37780
Noordwindhaven = cda0a5
Kaap_Tuinder = c02f41
Driftstrand = ea5e70
Tobenamedtumble18 = ea5eac
Tobenamedtumble19 = c93085
Kromdijk_aan_zee = d14d96
Tobenamedtumble20 = 940052
Tobenamedtumble21 = 5e103b
Tobenamedtumble22 = a13871
Tobenamedtumble23 = ec4aa3
Tobenamedtumble24 = ef71b5
Heerenwerf = cd418f
Tobenamedtumble25 = be1973
Woltersum = 9a135d
Zwartweteren = dd3d94
Tobenamedtumble26 = eb2892
Hoogkamp = e374b2
Oud_torenburg = f3b1d5
Heidestein = f46b7c

Tobenamedtumble5 = fa3a51
Tobenamedtumble6 = b43d4b
Tobenamedtumble7 = df8892
Tobenamedtumble8 = 4c2026
Tobenamedtumble9 = 4e050d
Noordwijker = de6270
Tobenamedtumble10 = 7b5459
Tobenamedtumble11 = 9f1b2a
Tobenamedtumble12 = eb283f
Tobenamedtumble13 = e76e7d
Tobenamedtumble14 = 6d262f
Tobenamedtumble15 = e87c89
Tobenamedtumble16 = 7c2d37
Tobenamedtumble17 = ad1123

Diever = 422cad
Haarskamp = 6d52ee
Peelwijk = 3f21d2
Grootveen = 4c33c1
Belofteveld = a393f1
Loenen = 796cbb
Dreumelholt = 403575
Stedum = 5539db
Oostwald = 453594
Tobenamedtumble1 = c7bdf3
Wekcenfast = 220d88
Tobenamedtumble2 = 6a4cf4
Tobenamedtumble3 = 261f48
Middenveld = 4e3f97
Tobenamedtumble4 = 311e8d
Brugwalde = 9582ee
Aarnau = 7f2833
Hollum = 750a18

Bitter_Moors_1 = 6ec5e1

Swartenmeer = 820716
Broekwater = 217f82
Almshoven = f75165
La_Neuferte = bd1429
Antorpe = e56c7b

Tobenamedbittermoors1 = d5364a
Tobenamedbittermoors2 = e00a26
Tobenamedbittermoors3 = 90303d
Tobenamedbittermoors4 = f31834
Tobenamedbittermoors5 = e76e7e
Tobenamedbittermoors6 = e5c0c5
Tobenamedbittermoors7 = d6162f
Tobenamedbittermoors8 = 691721
Tobenamedbittermoors9 = f53d54
Tobenamedbittermoors10 = 740614
Tobenamedbittermoors11 = e56676
Tobenamedbittermoors12 = f3334c
Maasten = bb1f33
Polderwoude = 62242c
Klessen = 932230

Keterveen = b63b4b
Molenwaard = 834f56
Lemmbourg = b23242
Bergbres = e87685
Kleindorpje = f31331
Heuveldorp = bc2d40
Tobenamedkleinland1 = 8e0d1e
Tobenamedkleinland2 = e2babf


Wijkersdijk = a14a55
Brakwaterdam = e68592
Heppeldorf = b8525f
Westerfort = ab2637
Buitenkaag = 93eef0
Lehmburg = 61c0c2

Kalkaat = e95b6c
Halsdorp = d61c33
Spaarwoude = 922634
Zandt = e86a7a
Marienburg = ff1d39
Ongediertefort = 638f9d
Zompveen = 19aede
Rutten = 57c8ec

Middelplaat = ca7e87
Oosterplaat = ef243d
Rijpermeer = a03a47
Kleibroek_aan_zee = 68131e
Verdronkenhoek = e2384d
Salfen = c1172c
Kloosterdam = 63eef1

Forests_near_barren_hills = 761c6b
Carroburg_woods = 5972d2
Western_Laurelorn = 80d48f
Plains_above_schadensumpf = c5152a
Middenland_forests = 446341
Middle_mountain_foothills2 = ef488d
Imperial_north_coast = 2e1896
Imperial_north_coast2 = 291e5a
Auld_Troldved = 20a939
Voervinholm = 61e178
Salzmorast = 3d26ac
Beelen = 8072c2


wasteland_blocker = 1E0F0D

testprovince1 = 53A54C
testprovince2 = 514A9E
testprovince3 = 4EA7FF
testprovince4 = A34C84
testprovince5 = A0A04B
testprovince6 = FF7F6D
testprovince7 = A22143
testprovince8 = 163B73
testprovince9 = 47B161
testprovince10 = 53B48E
testprovince11 = 6D9868
testprovince12 = 374830
testprovince13 = C19FE7
testprovince14 = 9375DB
testprovince15 = F3ABDD
testprovince16 = 5BB285
testprovince17 = 2D09C7
testprovince18 = 191D90
testprovince19 = E7994A
testprovince20 = A8D6A1
testprovince21 = F91D08
